Date,Open,High,Low,Close,Adj Close,Volume
2018-09-27,67.050003,67.349998,66.680000,66.730003,59.145424,2498600
2018-09-28,66.730003,66.949997,66.610001,66.949997,59.340424,2491400
2018-10-01,66.959999,67.309998,66.889999,67.070000,59.446781,2116300
2018-10-02,67.139999,67.800003,66.959999,67.389999,59.730415,2722600
2018-10-03,67.529999,67.580002,65.830002,65.919998,58.427490,3764500
2018-10-04,65.440002,65.459999,64.519997,64.919998,57.541138,3707900
2018-10-05,64.769997,65.040001,64.599998,64.709999,57.355022,2972200
2018-10-08,64.660004,65.550003,64.510002,65.349998,57.922272,4090800
2018-10-09,65.470001,65.690002,65.059998,65.070000,57.674103,4603300
2018-10-10,64.540001,65.379997,63.799999,63.830002,56.575039,4789000
2018-10-11,63.869999,64.139999,62.119999,62.349998,55.263260,7242600
2018-10-12,62.639999,62.900002,61.910000,62.540001,55.431656,4297100
2018-10-15,62.419998,63.060001,62.240002,62.549999,55.440525,3439100
2018-10-16,62.709999,62.930000,62.419998,62.610001,55.493706,3226000
2018-10-17,62.169998,63.619999,62.020000,63.549999,56.326870,5446700
2018-10-18,62.799999,63.130001,62.330002,62.639999,55.889664,3947300
2018-10-19,64.419998,65.529999,64.250000,64.519997,57.567070,6907700
2018-10-22,64.559998,64.790001,63.490002,63.639999,56.781906,3051800
2018-10-23,63.240002,63.720001,62.759998,63.400002,56.567772,3766000
2018-10-24,63.380001,65.370003,63.369999,64.639999,57.674137,6235600
2018-10-25,64.820000,65.040001,63.610001,63.820000,56.942505,6263100
2018-10-26,61.490002,62.259998,59.259998,59.580002,53.159428,9628700
2018-10-29,59.130001,59.810001,57.410000,57.880001,51.642632,9710000
2018-10-30,58.310001,60.310001,57.939999,60.189999,53.703690,8210200
2018-10-31,60.099998,60.230000,58.709999,59.549999,53.132652,8714200
2018-11-01,59.630001,60.480000,59.320000,60.080002,53.605549,4764100
2018-11-02,60.910000,60.910000,59.869999,60.290001,53.792919,5253500
2018-11-05,60.160000,61.110001,59.680000,60.230000,53.739376,7833700
2018-11-06,60.270000,61.099998,60.130001,60.509998,53.989204,5171700
2018-11-07,60.790001,61.439999,60.270000,61.330002,54.720840,5777500
2018-11-08,61.080002,61.099998,60.380001,60.900002,54.337170,5212800
2018-11-09,61.150002,63.990002,60.950001,63.799999,56.924664,9735400
2018-11-12,62.980000,63.380001,61.250000,61.349998,54.738686,8800800
2018-11-13,61.560001,62.590000,61.130001,61.860001,55.193726,5982000
2018-11-14,62.299999,62.950001,61.970001,62.470001,55.737980,6798800
2018-11-15,62.180000,62.660000,61.730000,62.400002,55.675537,4688600
2018-11-16,62.439999,63.740002,62.290001,63.240002,56.425011,5368300
2018-11-19,62.980000,63.580002,62.570000,62.770000,56.005665,4480900
2018-11-20,62.939999,63.590000,62.279999,62.310001,55.595230,3866400
2018-11-21,62.549999,62.750000,61.779999,61.919998,55.247250,3935300
2018-11-23,61.849998,62.220001,61.540001,61.779999,55.122353,1367700
2018-11-26,62.020000,62.930000,61.910000,62.740002,55.978897,5082200
2018-11-27,62.730000,63.310001,62.509998,63.240002,56.425011,3708900
2018-11-28,63.029999,63.500000,62.590000,62.830002,56.059196,4940700
2018-11-29,62.720001,63.340000,62.610001,63.040001,56.246563,3239700
2018-11-30,62.830002,63.590000,62.700001,63.520000,56.674831,3568700
2018-12-03,63.459999,63.900002,63.110001,63.759998,56.888977,4878600
2018-12-04,64.010002,64.610001,62.990002,63.080002,56.282261,4237100
2018-12-06,62.849998,63.290001,61.869999,63.230000,56.416088,5080700
2018-12-07,63.290001,64.290001,62.660000,62.709999,55.952122,4072700
2018-12-10,63.000000,63.709999,62.180000,63.540001,56.692688,3903500
2018-12-11,63.980000,65.000000,63.869999,64.550003,57.593834,4703200
2018-12-12,64.889999,65.639999,64.769997,65.279999,58.245174,5902200
2018-12-13,65.360001,65.879997,65.129997,65.470001,58.414696,4066900
2018-12-14,65.110001,65.650002,64.879997,65.169998,58.147030,4976000
2018-12-17,65.150002,65.349998,62.419998,62.919998,56.139488,7167600
2018-12-18,63.389999,63.439999,62.009998,62.459999,55.729073,4294400
2018-12-19,62.430000,63.150002,61.500000,61.880001,55.211571,4225400
2018-12-20,61.740002,61.959999,60.509998,60.980000,54.408558,5552000
2018-12-21,60.610001,62.080002,59.889999,59.910000,53.453865,10032400
2018-12-24,59.959999,60.000000,57.849998,58.040001,51.785389,3872300
