Date,Open,High,Low,Close,Adj Close,Volume
2018-09-27,2141.899902,2209.699951,2135.800049,2188.850098,1959.730469,3311802
2018-09-28,2178.000000,2190.000000,2158.850098,2183.699951,1955.119751,2904371
2018-10-01,2190.899902,2275.949951,2190.350098,2255.550049,2019.448242,3772208
2018-10-03,2250.300049,2255.000000,2155.600098,2162.850098,1936.452759,3902322
2018-10-04,2156.600098,2156.649902,2056.350098,2064.800049,1848.665649,4762419
2018-10-05,2050.000000,2120.000000,2020.900024,2102.649902,1882.553589,3417624
2018-10-08,2102.649902,2122.199951,2048.149902,2077.550049,1860.080566,2010154
2018-10-09,2080.350098,2107.649902,2053.199951,2091.800049,1872.839233,1867130
2018-10-10,2100.000000,2105.949951,2029.000000,2043.599976,1829.684814,2749573
2018-10-11,1985.000000,2013.000000,1941.000000,1979.949951,1772.697144,4700256
2018-10-12,1978.000000,1978.000000,1903.000000,1918.300049,1717.500488,9373289
2018-10-15,1940.000000,1955.550049,1920.000000,1949.500000,1745.434570,2638151
2018-10-16,1958.000000,1971.900024,1935.000000,1962.300049,1756.894775,2815425
2018-10-17,1970.000000,1989.000000,1920.000000,1929.400024,1727.438599,2779207
2018-10-19,1929.000000,1929.000000,1870.050049,1913.199951,1712.934204,3428776
2018-10-22,1914.000000,1916.000000,1886.949951,1903.000000,1703.802124,1778496
2018-10-23,1888.000000,1898.000000,1837.000000,1843.650024,1654.141602,2752811
2018-10-24,1852.050049,1874.000000,1811.099976,1848.500000,1658.492920,2735913
2018-10-25,1844.000000,1876.900024,1825.050049,1853.000000,1662.530518,2507233
2018-10-26,1853.900024,1853.900024,1791.099976,1799.099976,1614.170654,2285970
2018-10-29,1808.699951,1877.949951,1784.349976,1871.000000,1678.680176,2609483
2018-10-30,1867.000000,1909.400024,1845.000000,1894.800049,1700.033936,2404883
2018-10-31,1900.000000,1943.900024,1875.449951,1938.150024,1738.927856,2769190
2018-11-01,1943.650024,1944.349976,1901.300049,1935.750000,1736.774780,2769759
2018-11-02,1934.199951,1954.599976,1905.000000,1913.449951,1716.766724,1818635
2018-11-05,1910.000000,1927.349976,1884.750000,1890.849976,1696.489868,1713366
2018-11-06,1894.000000,1937.500000,1891.000000,1932.699951,1734.038330,1398710
2018-11-07,1940.000000,1949.000000,1937.000000,1942.150024,1742.516846,144530
2018-11-09,1961.000000,1961.949951,1905.000000,1909.199951,1712.953613,2570479
2018-11-12,1908.500000,1946.099976,1908.500000,1914.849976,1718.022827,2552008
2018-11-13,1915.000000,1939.000000,1903.000000,1934.949951,1736.056885,1418432
2018-11-14,1925.000000,1929.900024,1870.000000,1880.650024,1687.338501,2422318
2018-11-15,1864.000000,1899.000000,1857.599976,1872.849976,1680.340210,1829123
2018-11-16,1889.000000,1899.800049,1870.250000,1886.599976,1692.676514,1829729
2018-11-19,1899.000000,1907.349976,1864.300049,1902.449951,1706.897461,1740628
2018-11-20,1902.000000,1902.000000,1874.199951,1878.250000,1685.184937,1190182
2018-11-21,1871.000000,1871.050049,1798.550049,1812.000000,1625.744751,3840461
2018-11-22,1820.000000,1847.599976,1809.949951,1812.550049,1626.238403,3194219
2018-11-26,1819.000000,1860.000000,1784.500000,1846.099976,1656.339600,4333177
2018-11-27,1854.000000,1897.900024,1835.349976,1890.250000,1695.951660,3344839
2018-11-28,1889.000000,1989.000000,1882.500000,1983.900024,1779.975220,5313249
2018-11-29,1997.000000,1997.000000,1942.550049,1960.550049,1759.025513,4035441
2018-11-30,1966.000000,1991.000000,1959.849976,1968.250000,1765.933838,5268901
2018-12-03,1984.000000,1990.000000,1968.300049,1982.400024,1778.629395,1610576
2018-12-04,1983.000000,2019.400024,1971.000000,2010.849976,1804.155273,3270615
2018-12-05,2006.000000,2018.000000,1985.000000,2006.750000,1800.476563,2501539
2018-12-06,1998.000000,2017.000000,1979.599976,1992.699951,1787.870361,2321216
2018-12-07,1985.050049,2003.900024,1973.000000,1995.199951,1790.113647,1680420
2018-12-10,1975.000000,2011.000000,1960.000000,1975.800049,1772.708008,2010786
2018-12-11,1970.000000,2010.000000,1961.000000,2000.000000,1794.420410,2942014
2018-12-12,2001.099976,2022.000000,1984.949951,2016.800049,1809.493164,2219993
2018-12-13,2024.000000,2029.699951,1974.500000,1982.599976,1778.808716,3748429
2018-12-14,1983.000000,1998.949951,1975.250000,1989.750000,1785.223755,2473761
2018-12-17,1999.000000,2004.900024,1985.000000,1994.300049,1789.306274,1227921
2018-12-18,1991.900024,2002.000000,1976.400024,1987.849976,1783.519165,1768742
2018-12-19,1984.800049,1984.800049,1960.050049,1968.449951,1766.113159,2498833
2018-12-20,1953.800049,1974.900024,1946.000000,1954.050049,1753.193848,1940277
2018-12-21,1948.000000,1950.000000,1886.550049,1895.800049,1700.931030,3729956
2018-12-24,1905.800049,1938.900024,1905.000000,1918.500000,1721.297852,1864116
2018-12-26,1921.800049,1921.800049,1870.250000,1889.199951,1695.009155,2446614
2018-12-27,1909.000000,1941.699951,1872.099976,1908.949951,1712.729370,4968201
2018-12-28,1915.000000,1920.000000,1893.000000,1896.050049,1701.155396,2239130
2018-12-31,1908.000000,1909.000000,1886.150024,1893.050049,1698.463623,1879740
2019-01-01,1896.000000,1910.000000,1885.000000,1902.800049,1707.211670,1094883
2019-01-02,1905.000000,1934.449951,1900.000000,1923.300049,1725.604126,2100463
2019-01-03,1919.000000,1944.949951,1893.099976,1899.949951,1704.654419,2611668
2019-01-04,1900.000000,1901.199951,1841.000000,1876.849976,1683.928833,4280862
2019-01-07,1891.800049,1908.800049,1881.000000,1897.900024,1702.815063,1856423
2019-01-08,1905.400024,1906.400024,1883.300049,1893.550049,1698.912231,1691756
2019-01-09,1907.400024,1919.000000,1866.699951,1886.949951,1692.990479,2414376
2019-01-10,1890.000000,1905.000000,1872.099976,1888.550049,1694.426270,3053461
2019-01-11,1870.000000,1875.000000,1835.000000,1842.550049,1653.154663,9209862
2019-01-14,1850.000000,1851.000000,1810.000000,1813.250000,1626.866333,3615370
2019-01-15,1810.000000,1869.349976,1808.000000,1867.800049,1675.809326,7711653
2019-01-16,1870.000000,1875.000000,1847.000000,1870.150024,1677.917725,2359280
2019-01-17,1878.000000,1898.000000,1871.300049,1894.300049,1703.228271,2625816
2019-01-18,1881.000000,1904.199951,1876.000000,1900.650024,1708.937744,1683728
2019-01-21,1902.000000,1932.000000,1895.449951,1908.699951,1716.175781,2409803
2019-01-22,1907.099976,1918.250000,1890.000000,1901.900024,1710.061768,2457093
2019-01-23,1901.000000,1906.099976,1870.000000,1875.599976,1686.414307,2578169
2019-01-24,1884.800049,1905.250000,1875.000000,1901.550049,1709.747192,1962927
2019-01-25,1902.000000,1935.000000,1901.000000,1920.800049,1727.055298,2327080
2019-01-28,1933.000000,1962.000000,1925.500000,1955.000000,1757.805664,2769033
2019-01-29,1962.000000,1989.050049,1936.650024,1982.750000,1782.756470,2557626
2019-01-30,1979.599976,1989.500000,1954.650024,1981.400024,1781.542725,2429575
2019-01-31,1987.000000,2019.750000,1985.000000,2014.099976,1810.943970,4094319
2019-02-01,2009.500000,2034.750000,1998.099976,2029.949951,1825.195801,3064163
2019-02-04,2029.949951,2055.449951,2023.000000,2050.250000,1843.447998,1590764
2019-02-05,2050.000000,2055.000000,2028.000000,2044.550049,1838.323242,1111404
2019-02-06,2049.899902,2086.850098,2041.050049,2074.800049,1865.521973,1789812
